Date,Time,VRATE,PBLH,WIND_SPEED(GUST),PRATE,Temp,pixelID,lat,lon,u10,v10,u20,v20,u30,v30,u40,v40,u50,v50,u80,v80,u100,v100,file
2023-01-04,18,0,0,1.3022089,0,299.85614,A,13.75,100.5,-0.5992505,-0.6918018,-0.76678956,-0.825791,-0.87280273,-0.9626636,-1.0105274,-0.54100096,-0.59822756,-0.6526855,-0.6859521,-0.70871335,-0.74345946,-0.7592261,gfs.0p25.2023010418.f000.grib2
2023-01-04,18,1000,0,5.0022087,0,296.55615,B,13.75,100.75,-1.9292505,-2.2718017,-2.5567896,-2.805791,-3.0328028,-3.6926637,-4.0905275,-1.151001,-1.2782276,-1.4126855,-1.5159521,-1.6087134,-1.8534595,-1.9892261,gfs.0p25.2023010418.f000.grib2
2023-01-04,18,1000,0,4.0022087,0,297.15616,C,14,100.5,-1.5592505,-1.8218018,-2.0467896,-2.235791,-2.4028027,-2.8926635,-3.2205274,-1.5810009,-1.7682276,-1.9426856,-2.085952,-2.1787133,-2.4734595,-2.629226,gfs.0p25.2023010418.f000.grib2
2023-01-04,18,0,0,1.9022088,0,295.55615,D,13.75,100.25,-0.5392505,-0.71180177,-0.83678955,-0.995791,-1.1628027,-1.6526636,-1.9205273,-1.771001,-1.9182276,-2.0526855,-2.1559522,-2.2487135,-2.4534595,-2.509226,gfs.0p25.2023010418.f000.grib2
2023-01-05,0,500,0,2.7025878,0,297.7,A,13.75,100.5,-0.37105712,-0.48363036,-0.5633765,-0.60544676,-0.6251831,-0.71434814,-0.7319922,-1.5935229,-1.7606152,-1.9400244,-2.059978,-2.1373682,-2.3198512,-2.3823998,gfs.0p25.2023010500.f000.grib2
2023-01-05,0,100,0,1.7025878,0,295,B,13.75,100.75,-0.7710571,-0.7736304,-0.80337644,-0.8054468,-0.7751831,-0.6643481,-0.5819922,-1.2035229,-1.3206153,-1.4400244,-1.519978,-1.5873681,-1.7498511,-1.8123999,gfs.0p25.2023010500.f000.grib2
2023-01-05,0,1400,0,7.6025877,0,295.4,C,14,100.5,-1.5710571,-1.8736304,-2.1533766,-2.3654468,-2.5551832,-3.1043482,-3.5119922,-2.593523,-2.9406152,-3.3400245,-3.589978,-3.797368,-4.349851,-4.6924,gfs.0p25.2023010500.f000.grib2
2023-01-05,0,500,0,4.502588,0,293.6,D,13.75,100.25,-0.17105713,-0.32363036,-0.43337646,-0.5554468,-0.6951831,-1.2643481,-1.6919922,-2.593523,-2.9006152,-3.2300243,-3.489978,-3.7173681,-4.369851,-4.6724,gfs.0p25.2023010500.f000.grib2
2023-01-05,6,8000,0,5.1021953,0,308.99164,A,13.75,100.5,-1.8556982,-1.9714136,-2.0946631,-2.1799755,-2.229292,-2.3547242,-2.3977857,-3.1385925,-3.4429688,-3.6769238,-3.8433301,-3.9516382,-4.1993213,-4.3085985,gfs.0p25.2023010506.f000.grib2
2023-01-05,6,3000,0,2.302195,0,313.39163,B,13.75,100.75,-1.0156982,-0.97141355,-1.0146631,-1.0399756,-1.069292,-1.1247241,-1.1577857,-0.95859253,-0.93296874,-0.9769238,-1.0133301,-1.0316381,-1.0793213,-1.0985986,gfs.0p25.2023010506.f000.grib2
2023-01-05,6,13000,0,7.702195,0,308.79163,C,14,100.5,-2.4856982,-2.8314135,-3.0846632,-3.2399757,-3.349292,-3.5847242,-3.7077856,-6.1085925,-6.5129685,-7.016924,-7.32333,-7.5216384,-7.899321,-8.048598,gfs.0p25.2023010506.f000.grib2
2023-01-05,6,13000,0,8.002195,0,306.5916,D,13.75,100.25,-2.0356982,-2.3414135,-2.5346632,-2.6699755,-2.749292,-2.954724,-3.0477858,-6.0585923,-6.5329685,-7.016924,-7.30333,-7.481638,-7.859321,-8.018599,gfs.0p25.2023010506.f000.grib2
2023-01-05,12,1400,0,3.7009025,0,302.5468,A,13.75,100.5,-1.1648974,-1.3488061,-1.5084594,-1.6504883,-1.7525048,-2.0402758,-2.1842017,-1.5437915,-1.6977441,-1.8832568,-1.9952002,-2.0956836,-2.2845483,-2.3651295,gfs.0p25.2023010512.f000.grib2
2023-01-05,12,2500,0,7.6009026,0,300.24683,B,13.75,100.75,-2.7348974,-3.128806,-3.5384595,-3.8404882,-4.092505,-4.700276,-5.0542016,-1.9737915,-2.257744,-2.5632567,-2.7952,-2.9856837,-3.4345484,-3.6751294,gfs.0p25.2023010512.f000.grib2
2023-01-05,12,4900,0,8.800902,0,300.14682,C,14,100.5,-2.6348975,-3.0488062,-3.4484594,-3.7304883,-3.9525049,-4.4602757,-4.7242017,-4.2037916,-4.6977444,-5.253257,-5.6252003,-5.9056835,-6.5045485,-6.7751293,gfs.0p25.2023010512.f000.grib2
2023-01-05,12,3000,0,9.000902,0,298.5468,D,13.75,100.25,-1.4748975,-1.8088062,-2.0884595,-2.3104882,-2.5025048,-3.0102758,-3.3142016,-3.7837915,-4.287744,-4.803257,-5.1752,-5.4656835,-6.114548,-6.435129,gfs.0p25.2023010512.f000.grib2
2023-01-05,18,2000,0,5.901296,0,299.68463,A,13.75,100.5,-2.1060963,-2.4157348,-2.7103224,-2.913955,-3.0687158,-3.4236474,-3.5964477,-1.6768726,-1.8731666,-2.0874903,-2.2203174,-2.3160229,-2.5333471,-2.6162672,gfs.0p25.2023010518.f000.grib2
